chain	address	code_status	code_bytes	totalSupply_status	totalSupply	name_status	name	symbol_status	symbol	owner_status	owner
sepolia	0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e	OK	3174	ERR		ERR		ERR		ERR	
base_sepolia	0x0c3e245f3939b4d9f30e088988dd9d7c8f86b11d	OK	19729	ERR		ERR		ERR		OK	0xf71338f3eaa483aa66125598b09ba1988e694a95
sepolia	0x3100b1e890b7a4f3da0b6be0388a9b2aff9c8e79	OK	6830	ERR		ERR		ERR		ERR	
base_sepolia	0x4200000000000000000000000000000000000007	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x420000000000000000000000000000000000000f	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x4200000000000000000000000000000000000010	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x4200000000000000000000000000000000000014	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x4200000000000000000000000000000000000015	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x4200000000000000000000000000000000000016	OK	2059	ERR		ERR		ERR		ERR	
sepolia	0x49f53e41452c74589e85ca1677426ba426459e85	OK	2059	ERR		ERR		ERR		ERR	
base_sepolia	0x5674e4658b988ed9337dd0caa493c6aa908006af	OK	16676	ERR		ERR		ERR		OK	0xf71338f3eaa483aa66125598b09ba1988e694a95
sepolia	0x56817dc696448135203c0556f702c6a953260411	OK	2394	OK	666666666688777877777779777778797196061090132979365929545643000000000000	OK	Mintable Caw	OK	mCAW	ERR	
base_sepolia	0x56817dc696448135203c0556f702c6a953260411	OK	10064	ERR		ERR		ERR		OK	0xf71338f3eaa483aa66125598b09ba1988e694a95
arbitrum_sepolia	0x56817dc696448135203c0556f702c6a953260411	OK	2960	ERR		ERR		ERR		OK	0xf71338f3eaa483aa66125598b09ba1988e694a95
sepolia	0x6404d1d3d878407a0977d99c832453f235da67c3	OK	11121	ERR		ERR		ERR		ERR	
sepolia	0x84457ca9d0163fbc4bbfe4dfbb20ba46e48df254	OK	2059	ERR		ERR		ERR		ERR	
sepolia	0x8d65d141a60b1e1136be62604783aade8e7290d9	OK	3378	ERR		ERR		ERR		ERR	
sepolia	0x9fcbb3d6880cd3293f1a731fe6c958a6621a74bf	OK	23217	OK	2282	OK	CAW NAME	OK	cawNAME	OK	0xf71338f3eaa483aa66125598b09ba1988e694a95
sepolia	0xa5c515d35c291110090b6edc4278acdef1424c7a	OK	5544	ERR		ERR		ERR		ERR	
sepolia	0xc8af999e38273d658be1b921b88a9ddf005769cc	OK	13904	ERR		ERR		ERR		OK	0x69420f05a11f617b4b74ffe2e04b2d300dfa556f
sepolia	0xca11bde05977b3631167028862be2a173976ca11	OK	3808	ERR		ERR		ERR		ERR	
base_sepolia	0xca11bde05977b3631167028862be2a173976ca11	OK	3808	ERR		ERR		ERR		ERR	
arbitrum_sepolia	0xca11bde05977b3631167028862be2a173976ca11	OK	3808	ERR		ERR		ERR		ERR	
sepolia	0xce01f8eee7e479c928f8919abd53e553a36cef67	OK	7588	ERR		ERR		ERR		OK	0x69420f05a11f617b4b74ffe2e04b2d300dfa556f
sepolia	0xd6e6dbf4f7ea0ac412fd8b65ed297e64bb7a06e1	OK	2059	ERR		ERR		ERR		OK	0x0fe884546476ddd290ec46318785046ef68a0ba9
sepolia	0xfd0bf71f60660e2f608ed56e1659c450eb113120	OK	2472	ERR		ERR		ERR		ERR	
